Musical,Song,Text
Sunday in the Park with George,The Day Off,Grrrruff! Gruff!
Sunday in the Park with George,The Day Off,With the fish and scum
Sunday in the Park with George,The Day Off,And planks and ballast
Sunday in the Park with George,The Day Off,The nose gets numb
Sunday in the Park with George,The Day Off,And the paws get callused
Sunday in the Park with George,The Day Off,And with splinters in your ass
Sunday in the Park with George,The Day Off,You look forward to the grass
Sunday in the Park with George,The Day Off,On Sunday
Sunday in the Park with George,The Day Off,The day off
Sunday in the Park with George,The Day Off,Off! Off! Off!
Sunday in the Park with George,The Day Off,Off!
Sunday in the Park with George,The Day Off,"The grass needs to be thicker. Perhaps a few weeds. And some ants, if you would. I love fresh ants."
Sunday in the Park with George,The Day Off,Roaming around on Sunday
Sunday in the Park with George,The Day Off,Poking among the roots and rocks
Sunday in the Park with George,The Day Off,Nose to the ground on Sunday
Sunday in the Park with George,The Day Off,Studying all the shoes and socks
Sunday in the Park with George,The Day Off,Everything's worth it Sunday
Sunday in the Park with George,The Day Off,The day off
Sunday in the Park with George,The Day Off,Bits of pastry...
Sunday in the Park with George,The Day Off,Piece of chicken...
Sunday in the Park with George,The Day Off,Here's a handkerchief
Sunday in the Park with George,The Day Off,That somebody was sick in
Sunday in the Park with George,The Day Off,There's a thistle...
Sunday in the Park with George,The Day Off,That's a shallot...
Sunday in the Park with George,The Day Off,That's a dripping
Sunday in the Park with George,The Day Off,From the loony with the palette
Sunday in the Park with George,The Day Off,Yap! Yap!
Sunday in the Park with George,The Day Off,Yap!
Sunday in the Park with George,The Day Off,Out for the day on Sunday
Sunday in the Park with George,The Day Off,Off of the lady's lap at last
Sunday in the Park with George,The Day Off,Yapping away on Sunday
Sunday in the Park with George,The Day Off,Helps you forget the week just past
Sunday in the Park with George,The Day Off,Yep! Yep!
Sunday in the Park with George,The Day Off,Everything's worth it Sunday
Sunday in the Park with George,The Day Off,The day off
Sunday in the Park with George,The Day Off,Yep!
Sunday in the Park with George,The Day Off,Stuck all week on a lady's lap
Sunday in the Park with George,The Day Off,Nothing to do but yawn and nap
Sunday in the Park with George,The Day Off,Can you blame me if I yap?
Sunday in the Park with George,The Day Off,Nope.
Sunday in the Park with George,The Day Off,There's only so much attention a dog can take.
Sunday in the Park with George,The Day Off,Being alone on Sunday
Sunday in the Park with George,The Day Off,Rolling around in mud and dirt—
Sunday in the Park with George,The Day Off,Begging a bone on Sunday
Sunday in the Park with George,The Day Off,Settling for a spoiled dessert—
Sunday in the Park with George,The Day Off,Everything's worth it
Sunday in the Park with George,The Day Off,Sunday
Sunday in the Park with George,The Day Off,The day off
Sunday in the Park with George,The Day Off,Something fuzzy...
Sunday in the Park with George,The Day Off,Something furry...
Sunday in the Park with George,The Day Off,Something pink
Sunday in the Park with George,The Day Off,That someone tore off in a hurry...
Sunday in the Park with George,The Day Off,What's the muddle
Sunday in the Park with George,The Day Off,In the middle?
Sunday in the Park with George,The Day Off,That's the puddle
Sunday in the Park with George,The Day Off,Where the poodle
Sunday in the Park with George,The Day Off,Did the piddle
Sunday in the Park with George,The Day Off,Taking the day on Sunday
Sunday in the Park with George,The Day Off,Now that the dreary week is dead
Sunday in the Park with George,The Day Off,Getting away on Sunday
Sunday in the Park with George,The Day Off,Brightens the dreary week ahead
Sunday in the Park with George,The Day Off,Everyone's on display on Sunday
