Musical,Song,Text
Into the Woods,Prologue: Into the Woods,Jack Jack Jack
Into the Woods,Prologue: Into the Woods,Head in a sack
Into the Woods,Prologue: Into the Woods,The house is getting colder
Into the Woods,Prologue: Into the Woods,This is not a time for dreaming
Into the Woods,Prologue: Into the Woods,Chimney stack
Into the Woods,Prologue: Into the Woods,Starting to crack
Into the Woods,Prologue: Into the Woods,The mice are getting bolder
Into the Woods,Prologue: Into the Woods,The floor's gone slack
Into the Woods,Prologue: Into the Woods,Your mother's getting older
Into the Woods,Prologue: Into the Woods,Your father's not back
Into the Woods,Prologue: Into the Woods,And you can't just sit here dreaming pretty dreams
Into the Woods,Prologue: Into the Woods,To wish and wait
Into the Woods,Prologue: Into the Woods,From day to day
Into the Woods,Prologue: Into the Woods,Will never keep
Into the Woods,Prologue: Into the Woods,The wolves away
Into the Woods,Prologue: Into the Woods,So into the woods
Into the Woods,Prologue: Into the Woods,The time is now
Into the Woods,Prologue: Into the Woods,We have to live
Into the Woods,Prologue: Into the Woods,I don't care how
Into the Woods,Prologue: Into the Woods,Into the woods
Into the Woods,Prologue: Into the Woods,To sell the cow
Into the Woods,Prologue: Into the Woods,You must begin the journey
Into the Woods,Prologue: Into the Woods,Straight through the woods
Into the Woods,Prologue: Into the Woods,And don't delay-
Into the Woods,Prologue: Into the Woods,We have to face
Into the Woods,Prologue: Into the Woods,The marketplace
Into the Woods,Prologue: Into the Woods,Into the woods to journey's end-
Into the Woods,Prologue: Into the Woods,Into the woods to sell a friend-
Into the Woods,Prologue: Into the Woods,"Oh, someday you'll have a real pet, Jack"
Into the Woods,Prologue: Into the Woods,A piggy?
Into the Woods,Prologue: Into the Woods,"Meanwhile, the witch, for purposes of her own, explained how the Baker might lift the spell:"
Into the Woods,Prologue: Into the Woods,You wish to have
Into the Woods,Prologue: Into the Woods,The curse reversed?
Into the Woods,Prologue: Into the Woods,I'll need a certain
Into the Woods,Prologue: Into the Woods,Potion first:
Into the Woods,Prologue: Into the Woods,Go to the wood and bring me back
Into the Woods,Prologue: Into the Woods,One: the cow as white as milk
Into the Woods,Prologue: Into the Woods,Two: the cape as red as blood
Into the Woods,Prologue: Into the Woods,Three: the hair as yellow as corn
Into the Woods,Prologue: Into the Woods,Four: the slipper as pure as gold
Into the Woods,Prologue: Into the Woods,Bring me these
Into the Woods,Prologue: Into the Woods,Before the chime
Into the Woods,Prologue: Into the Woods,Of midnight
Into the Woods,Prologue: Into the Woods,In three days' time
Into the Woods,Prologue: Into the Woods,And you shall have
Into the Woods,Prologue: Into the Woods,I guarantee
Into the Woods,Prologue: Into the Woods,A child as perfect
Into the Woods,Prologue: Into the Woods,As child can be
Into the Woods,Prologue: Into the Woods,Go to the wood!
Into the Woods,Prologue: Into the Woods,Ladies
Into the Woods,Prologue: Into the Woods,Our carriage waits
Into the Woods,Prologue: Into the Woods,Now may I go to the Festival?
Into the Woods,Prologue: Into the Woods,The Festival-!
Into the Woods,Prologue: Into the Woods,"Darling, those nails!"
Into the Woods,Prologue: Into the Woods,"Darling, those clothes!"
Into the Woods,Prologue: Into the Woods,Lentils are one thing but
Into the Woods,Prologue: Into the Woods,"Darling, with those"
Into the Woods,Prologue: Into the Woods,You'd make us the fools of the Festival
Into the Woods,Prologue: Into the Woods,And mortify the Prince!
Into the Woods,Prologue: Into the Woods,The carriage is waiting.
Into the Woods,Prologue: Into the Woods,We must be gone.
Into the Woods,Prologue: Into the Woods,"Good night, Father."
Into the Woods,Prologue: Into the Woods,I wish...
Into the Woods,Prologue: Into the Woods,Look what I found in Father's hunting jacket.
Into the Woods,Prologue: Into the Woods,Six beans
Into the Woods,Prologue: Into the Woods,I wonder if they are-
Into the Woods,Prologue: Into the Woods,The witch's beans! We'll take them with us.
Into the Woods,Prologue: Into the Woods,No! You are not coming
Into the Woods,Prologue: Into the Woods,I know you are fearful of the Woods at night
Into the Woods,Prologue: Into the Woods,The spell is on my house
Into the Woods,Prologue: Into the Woods,Only I can lift the spell
Into the Woods,Prologue: Into the Woods,The spell is on my house
Into the Woods,Prologue: Into the Woods,"No, no, the spell is on our house"
Into the Woods,Prologue: Into the Woods,We must lift the spell together
Into the Woods,Prologue: Into the Woods,The spell is on our house
Into the Woods,Prologue: Into the Woods,"No. You are not to come and that is final. Now, what am I to return with?"
Into the Woods,Prologue: Into the Woods,You don't remember?
Into the Woods,Prologue: Into the Woods,The cow as white as milk
Into the Woods,Prologue: Into the Woods,The cape as red as blood
Into the Woods,Prologue: Into the Woods,The hair as yellow as corn
Into the Woods,Prologue: Into the Woods,The slipper as pure as gold-
Into the Woods,Prologue: Into the Woods,The cow as white as milk
Into the Woods,Prologue: Into the Woods,The cape as red as blood
Into the Woods,Prologue: Into the Woods,The hair as yellow as corn
Into the Woods,Prologue: Into the Woods,The slipper as pure as gold...
Into the Woods,Prologue: Into the Woods,"And so the baker, reluctantly, set off to meet the enchantress' demands. As for Cinderella:"
Into the Woods,Prologue: Into the Woods,I still wish to go to the
Into the Woods,Prologue: Into the Woods,Festival The cow as white as milk
Into the Woods,Prologue: Into the Woods,But how am I ever to get to The cape as red as blood
Into the Woods,Prologue: Into the Woods,The Festival? The hair as yellow as corn-
Into the Woods,Prologue: Into the Woods,I know! The what?
Into the Woods,Prologue: Into the Woods,I'll visit Mother's grave The slipper...
Into the Woods,Prologue: Into the Woods,The grave at the hazel tree The slipper as pure as gold...
Into the Woods,Prologue: Into the Woods,"And tell her I just want to go The cow, the cape"
Into the Woods,Prologue: Into the Woods,To the King's Festival... The slipper as pure as gold-
Into the Woods,Prologue: Into the Woods,The hair-!
Into the Woods,Prologue: Into the Woods,Into the woods
Into the Woods,Prologue: Into the Woods,It's time to go
Into the Woods,Prologue: Into the Woods,It may be all
Into the Woods,Prologue: Into the Woods,"In vain, I know"
Into the Woods,Prologue: Into the Woods,Into the woods-
Into the Woods,Prologue: Into the Woods,But even so
Into the Woods,Prologue: Into the Woods,I have to take the journey
Into the Woods,Prologue: Into the Woods,"Into the woods, the path is straight"
Into the Woods,Prologue: Into the Woods,You (I) know it well
Into the Woods,Prologue: Into the Woods,But who can tell-?
Into the Woods,Prologue: Into the Woods,Into the woods to lift the spell-
Into the Woods,Prologue: Into the Woods,Into the woods to visit Mother-
Into the Woods,Prologue: Into the Woods,Into the woods to fetch the things-
Into the Woods,Prologue: Into the Woods,To make the potion-
Into the Woods,Prologue: Into the Woods,To go to the Festival-
Into the Woods,Prologue: Into the Woods,Into the woods
Into the Woods,Prologue: Into the Woods,Without regret
Into the Woods,Prologue: Into the Woods,The choice is made
Into the Woods,Prologue: Into the Woods,The task is set
Into the Woods,Prologue: Into the Woods,Into the woods
Into the Woods,Prologue: Into the Woods,But not forget-
Into the Woods,Prologue: Into the Woods,Ting why I'm (you're) on the journey
Into the Woods,Prologue: Into the Woods,Into the woods
Into the Woods,Prologue: Into the Woods,To get my (our) wish
Into the Woods,Prologue: Into the Woods,I don't care how
Into the Woods,Prologue: Into the Woods,The time is now
Into the Woods,Prologue: Into the Woods,Into the woods-
Into the Woods,Prologue: Into the Woods,To sell the cow-
Into the Woods,Prologue: Into the Woods,Into the woods to get the money-
Into the Woods,Prologue: Into the Woods,Into the woods to lift the spell-
Into the Woods,Prologue: Into the Woods,To make the potion-
Into the Woods,Prologue: Into the Woods,To go to the Festival-
Into the Woods,Prologue: Into the Woods,Into the woods to Grandmother's house...
Into the Woods,Prologue: Into the Woods,Into the woods to Grandmother's house...
Into the Woods,Prologue: Into the Woods,The way is clear
Into the Woods,Prologue: Into the Woods,The light is good
Into the Woods,Prologue: Into the Woods,I have no fear
Into the Woods,Prologue: Into the Woods,Nor no one should
Into the Woods,Prologue: Into the Woods,The woods are just trees
Into the Woods,Prologue: Into the Woods,The trees are just wood
Into the Woods,Prologue: Into the Woods,No need to be afraid there-
Into the Woods,Prologue: Into the Woods,There's something in the glade there...
Into the Woods,Prologue: Into the Woods,Into the woods
Into the Woods,Prologue: Into the Woods,Without delay
Into the Woods,Prologue: Into the Woods,But careful not
Into the Woods,Prologue: Into the Woods,To lose the way
Into the Woods,Prologue: Into the Woods,Into the woods
Into the Woods,Prologue: Into the Woods,Who knows what may
Into the Woods,Prologue: Into the Woods,Be lurking on the journey?
Into the Woods,Prologue: Into the Woods,Into the woods
Into the Woods,Prologue: Into the Woods,To get the thing
Into the Woods,Prologue: Into the Woods,That makes it worth
